"buyer_id","part_num","volume","weighted","count","buyer_name"
45682,2,22244921.69,8.99081609668728e-08,5,"ВП ""Складське господарство"" ДП ""НАЕК ""Енергоатом"""
225770,2,19817417.72,1.00921322255905e-07,14,"Департамент охорони здоров’я та цивільного захисту населення Чернівецької облдержадміністрації "
632,2,15394227.2,1.29918830871874e-07,15,"Шевченківська райадміністрація Львівської міськради"
2576,2,14511199.28,1.3782458371697e-07,10,"Червоноградський міськвиконком Львівської області"
590,2,14009926.32,1.42755925642869e-07,11,"Секретаріат Київської міськради"
8407,2,13953040,1.43337939259115e-07,15,"Відділ освіти Ленінської районної у місті Дніпропетровську ради"
10346,2,12783919.88,1.56446537429332e-07,7,"Запорізька облрада"
1801,2,11411779.73,1.75257501224132e-07,19,"Комунальна установа Львівської облради ""Львівський регіональний фтизіопульмонологічний клінічний лікувально-діагностичний центр"""
999,2,11283376.7,1.77251903678799e-07,6,"КП ""Підприємство комунальної власності"" Енергодарської міськради Запорізької області"
12458,2,10691836,1.87058611823077e-07,9,"Управління освіти адміністрації Комінтернівського району Харківської міськради"
10069,2,9752411.48,2.05077483051402e-07,12,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ГАЗЕТА ""ХАРЬКОВСКИЕ ИЗВЕСТИЯ"" ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ"""
1989,2,9740229.26,2.05333975886313e-07,13,"Управління охорони здоров’я департаменту гуманітарної політики Львівської міськради"
1252,2,9462188.64,2.11367589052843e-07,23,"Харківський національний університет внутрішніх справ"
1635,2,9121914.31,2.1925222404331e-07,11,"Департамент житлово-комунального господарства Кам’янець-Подільської міської ради Хмельницької області"
5949,2,9098192.2,2.19823889849238e-07,14,"Центр оздоровлення та відпочинку ""Піщане"" ДПС України"
15076,2,9070834,2.20486892384978e-07,5,"Відділ житлово-комунального господарства Стрийського міськвиконкому Львівської області"
63032,2,8844837.96,2.26120592490764e-07,6,"КЗ ""Криворізький перинатальний центр зі стаціонаром"" Дніпропетровської облради"""
5826,2,8517944.41,2.34798433017714e-07,9,"УПРАВЛІННЯ ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА СЛОВ’ЯНСЬКОЇ МІСЬКРАДИ ДОНЕЦЬКОЇ ОБЛАСТІ"
271103,2,8133950.04,2.4588299536691e-07,6,"Філія ""Дельта-лоцман"" Державного підприємства ""Адміністрація морських портів України"" від імені Державного підприємства ""Адміністрація морських портів України"""
3118,2,7788195.72,2.56798887945769e-07,5,"Управління житлово-комунального господарства Первомайської міської ради"
244,2,7720966.2,2.5903493788122e-07,6,"Виконавчий апарат Луганської облради"
1063,2,7637219.8,2.61875401307685e-07,6,"ЗАКАРПАТСЬКИЙ ОБЛАСНИЙ КЛІНІЧНИЙ КАРДІОЛОГІЧНИЙ ДИСПАНСЕР"
758,2,7269414.46,2.75125322817266e-07,9,"Головне управління Держземагентства у Донецькій області"
209052,2,7246398.04,2.75999191454849e-07,5,"Хмельницький обласний центр екстреної медичної допомоги та медицини катастроф Хмельницької облради "
5237,2,6933045.7,2.8847350595136e-07,19,"ДЗ ""Дитячий спеціалізований (спеціальний) клінічний санаторій  ""Морський"" МОЗ України"
69638,2,6778965.53,2.95030265480639e-07,6,"Управління освіти Макіївської міськради Донецької області"
76435,2,6760035.22,2.95856446736087e-07,5,"Управління Державної служби охорони при УМВС України в Хмельницькій області"
2662,2,6717556.03,2.97727326883197e-07,5,"Івано-Франківська центральна міська клінічна лікарня"
3347,2,6576310.11,3.04121911306886e-07,13,"Управління міського господарства Євпаторійської міськради АР Крим"
123909,2,6573800,3.04238035839241e-07,5,"Державна міграційна служба України"
6425,2,6544958.82,3.05578698812959e-07,21,"Філія медичного реабілітаційного центру ВВ МВС України ""Майнаки"" - Дитячий медичний реабілітаційний центр ""Меркурій"""
2051,2,6304705.87,3.17223363189186e-07,8,"Управління житлово-комунального господарства Броварської міської ради"
3106,2,6300370.25,3.17441661464261e-07,12,"Управління освіти, молоді та спорту Дунаєвецької райдержадміністрації Хмельницької області"
139858,2,6162238.3,3.24557393374417e-07,11,"КУ ""Центр первинної медико-санітарної допомоги №6"" м.Кривий Ріг Дніпропетровської області"
